signal_date,exit_date,regime,selected,basket_return_pct,benchmark_return_pct,excess_return_pct
20230825,20230901,risk_on,105560;009540;035420,3.9347,2.5091,1.4256
20230901,20230908,risk_on,009540;105560;000660,-1.9909,-0.5318,-1.4591
20230908,20230915,risk_on,105560;009540;012450,1.3336,2.5671,-1.2335
20230915,20230922,risk_on,105560;035420;055550,-3.4888,-4.0332,0.5443
20230922,20231005,risk_on,105560;055550;028260,-6.0232,-3.5705,-2.4527
20231005,20231013,cash,,0.0,2.3587,-2.3587
20231013,20231020,risk_on,105560;000660;055550,0.9413,-2.5328,3.4741
20231020,20231027,cash,,0.0,-2.7703,2.7703
20231027,20231103,cash,,0.0,3.1176,-3.1176
20231103,20231110,cash,,0.0,1.7389,-1.7389
20231110,20231117,cash,,0.0,2.5411,-2.5411
20231117,20231124,risk_on,012450;068270;028260,-0.9178,0.6756,-1.5934
20231124,20231201,risk_on,012450;068270;028260,4.1583,0.1348,4.0234
20231201,20231208,risk_on,012450;068270;028260,1.531,0.7891,0.7418
20231208,20231215,risk_on,028260;000270;068270,2.7977,1.5659,1.2318
20231215,20231222,risk_on,028260;000660;068270,2.7225,1.9914,0.7311
20231222,20240103,risk_on,068270;000270;000660,6.7374,0.9418,5.7957
20240103,20240110,risk_on,068270;012450;028260,-4.1157,-2.9238,-1.1919
20240110,20240117,risk_on,068270;012450;035420,-6.5802,-4.1505,-2.4297
20240117,20240124,cash,,0.0,2.2194,-2.2194
20240124,20240131,risk_on,012450;000660;035420,-5.1245,0.8154,-5.9399
20240131,20240207,risk_on,000270;028260;207940,7.0834,4.7876,2.2958
20240207,20240216,risk_on,000270;005380;028260,3.5074,0.8191,2.6883
20240216,20240223,risk_on,028260;005380;000270,-1.147,0.9797,-2.1267
20240223,20240304,risk_on,000270;028260;005380,4.2231,0.7204,3.5027
20240304,20240311,risk_on,012450;005380;000270,-0.4468,-0.4816,0.0348
20240311,20240318,risk_on,012450;000270;000660,-1.6773,0.9534,-2.6307
20240318,20240325,risk_on,012450;000270;105560,-1.6785,2.5605,-4.239
20240325,20240401,risk_on,012450;055550;105560,-4.0925,1.3882,-5.4807
20240401,20240408,risk_on,012450;000660;105560,0.1444,-0.4362,0.5805
20240408,20240416,risk_on,012450;000660;105560,-2.9005,-4.3225,1.422
20240416,20240423,risk_on,012450;000660;005380,3.554,-0.0435,3.5975
20240423,20240430,risk_on,012450;005380;000270,-2.7193,2.5889,-5.3082
20240430,20240509,risk_on,012450;105560;005380,-1.0242,1.0654,-2.0896
20240509,20240517,risk_on,012450;329180;105560,-0.7153,0.2964,-1.0117
20240517,20240524,risk_on,012450;105560;000660,-0.4456,-1.2518,0.8061
20240524,20240531,risk_on,000660;105560;009540,-1.725,-1.8408,0.1158
20240531,20240610,risk_on,000660;009540;105560,3.9916,2.5138,1.4778
20240610,20240617,risk_on,000660;005380;009540,4.517,1.4505,3.0664
20240617,20240624,risk_on,000660;012450;005380,-0.0501,1.3081,-1.3582
20240624,20240701,risk_on,000660;009540;329180,3.758,1.7908,1.9673
